Time [s],Channel 0,Channel 1,Channel 2,Channel 3
10.669451833,0,0,0,0
10.670060583,1,0,0,0
10.670576000,0,0,0,0
10.671179667,1,0,0,0
10.671700167,0,0,0,0
10.672309667,1,0,0,0
10.672825000,0,0,0,0
10.673428667,1,0,0,0
10.673949167,0,0,0,0
10.674558667,1,0,0,0
10.676196833,0,0,0,0
10.676807583,1,0,0,0
10.677321000,0,0,0,0
10.677926750,1,0,0,0
10.679568667,0,0,0,0
10.680175500,1,0,0,0
10.681816333,0,0,0,0
10.682424333,1,0,0,0
10.684064000,0,0,0,0
10.684673167,1,0,0,0
10.686311667,0,0,0,0
10.686922250,1,0,0,0
10.688560000,0,0,0,0
10.689171250,1,0,0,0
10.728966167,0,0,0,0
10.737973167,1,0,0,0
10.740191000,0,0,0,0
10.740798083,1,0,0,0
10.836678083,0,0,0,0
10.845681500,1,0,0,0
10.847903000,0,0,0,0
10.848506417,1,0,0,0
10.944390083,0,0,0,0
10.953402167,1,0,0,0
10.955614917,0,0,0,0
10.956226917,1,0,0,0
11.837017167,0,0,0,0
11.846021583,1,0,0,0
11.850485083,0,0,0,0
11.851095333,1,0,0,0
11.851609000,0,0,0,0
11.852214417,1,0,0,0
11.852733167,0,0,0,0
11.853344417,1,0,0,0
11.853857333,0,0,0,0
11.854463500,1,0,0,0
11.854981500,0,0,0,0
11.855593500,1,0,0,0
11.856105667,0,0,0,0
11.856712583,1,0,0,0
11.857229833,0,0,0,0
11.857842583,1,0,0,0
11.859477500,0,0,0,0
11.860080833,1,0,0,0
11.860602250,0,0,0,0
11.861265167,1,0,0,0
11.862850167,0,0,0,0
11.863459833,1,0,0,0
11.865097667,0,0,0,0
11.865708833,1,0,0,0
11.867345250,0,0,0,0
11.867957833,1,0,0,0
11.869593000,0,0,0,0
11.870196000,1,0,0,0
11.871840583,0,0,0,0
11.872444917,1,0,0,0
11.874088333,0,0,0,0
11.874693750,1,0,0,0
11.875212500,0,0,0,0
11.875823750,1,0,0,0
11.877460417,0,0,0,0
11.878072750,1,0,0,0
11.878584667,0,0,0,0
11.879191667,1,0,0,0
11.880832333,0,0,0,0
11.881440583,1,0,0,0
11.883079917,0,0,0,0
11.883689500,1,0,0,0
